id,title,title_local,year,venue,status,source_type,primary_route,routes,level,tier,evidence_level,paper_url,doi,code_url,project_url,data_url,figure_url,source_note
vla-steering-2026,Learning What to Say to Your VLA: Mostly Harmless Vision Language Action Model Steering,学习如何对 VLA 说话：低伤害的视觉—语言—动作模型转向,2026,arXiv,preprint,paper,context-memory,context-memory|human-intervention,0,core,C,https://arxiv.org/abs/2606.12299,,,,,,T1；arXiv 元数据、摘要及 HTML 正文方法说明核验；数值不作为本地图核心比较结论。
ricl-2025,RICL: Adding In-Context Adaptability to Pre-Trained Vision-Language-Action Models,RICL：为预训练视觉—语言—动作模型加入上下文适应能力,2025,Conference on Robot Learning (CoRL 2025),peer-reviewed,paper,context-memory,context-memory|fewshot-parameter,0,core,A,https://openreview.net/forum?id=6AASPlloSt,,,,,,T1；CoRL 2025 官方 OpenReview 元数据与摘要核验。页面二次打开出现限流，因此未把未读取的正文细节写入证据。
openvla-oft-2025,Fine-Tuning Vision-Language-Action Models: Optimizing Speed and Success,微调视觉—语言—动作模型：优化速度与成功率,2025,arXiv,preprint,paper,fewshot-parameter,fewshot-parameter,1,bridge,C,https://arxiv.org/abs/2502.19645,,https://github.com/moojink/openvla-oft,https://openvla-oft.github.io/,,,T1/T2；arXiv 论文入口与作者项目页核验。避免把项目页数值写成跨设置通用结论。
openvla-2025,OpenVLA: An Open-Source Vision-Language-Action Model,OpenVLA：开源视觉—语言—动作模型,2025,"Conference on Robot Learning, PMLR 270",peer-reviewed,paper,fewshot-parameter,fewshot-parameter,1,background,B,https://proceedings.mlr.press/v270/kim25c.html,,https://github.com/openvla/openvla,,,,T1/T2；PMLR 正式论文页与官方代码仓库核验。仅作为少样本参数适配底座，不把它表述为在线学习方法。
never-stop-learning-2021,Never Stop Learning: The Effectiveness of Fine-Tuning in Robotic Reinforcement Learning,永不停止学习：机器人强化学习中微调的有效性,2021,"Conference on Robot Learning, PMLR 155",peer-reviewed,paper,fewshot-parameter,fewshot-parameter|continual-retention|reward-online,3,bridge,B,https://proceedings.mlr.press/v155/julian21a.html,,,,,,T1；PMLR 正式论文页核验。明确标注为非 VLA 的视觉机器人强化学习桥接工作。
rove-2026,ROVE: Unlocking Human Interventions for Humanoid Manipulation via Reinforcement Learning,ROVE：通过强化学习释放人类干预对人形机器人操控的价值,2026,arXiv,preprint,paper,human-intervention,human-intervention|reward-online,2,core,C,https://arxiv.org/abs/2606.17011,,,,,,T1；arXiv 元数据与摘要核验。未获得独立复现，比较结果按作者报告处理。
sirius-2023,Robot Learning on the Job: Human-in-the-Loop Autonomy and Learning During Deployment,机器人在岗学习：部署期间的人机协作自主与学习,2023,Robotics: Science and Systems XIX,peer-reviewed,paper,human-intervention,human-intervention|continual-retention,2,core,B,https://roboticsproceedings.org/rss19/p005.html,10.15607/RSS.2023.XIX.005,,https://ut-austin-rpl.github.io/sirius/,,,T1/T2；RSS 正式论文页与 DOI 核验。非 VLA，但研究对象正是部署中的实体机器人在线协作学习。
road-vla-2026,ROAD-VLA: Robust Online Adaptation via Self-Distillation for Vision-Language-Action Models,ROAD-VLA：通过自蒸馏实现视觉—语言—动作模型的鲁棒在线适应,2026,arXiv,preprint,paper,reward-online,reward-online|context-memory,2,core,C,https://arxiv.org/abs/2606.25800,,,,,,T1；arXiv 元数据、摘要与 HTML 正文核验。负面结果限定在作者测试的文本特权教师设计。
vla-rl-2025,VLA-RL: Towards Masterful and General Robotic Manipulation with Scalable Reinforcement Learning,VLA-RL：以可扩展强化学习迈向熟练且通用的机器人操控,2025,arXiv,preprint,paper,reward-online,reward-online|fewshot-parameter,2,core,C,https://arxiv.org/abs/2505.18719,,,,,,T1；arXiv 元数据、摘要与 HTML 方法部分核验。性能比较仅按论文设置陈述，不外推为真实部署结论。
agentic-vla-2026,Agentic-VLA: Efficient Online Adaptation for Vision-Language-Action Models,Agentic-VLA：视觉—语言—动作模型的高效在线适应,2026,arXiv,preprint,paper,reward-online,reward-online|context-memory|continual-retention,3,core,C,https://arxiv.org/abs/2605.22896,,,,,,T1；arXiv 元数据、摘要及 HTML 正文的讨论章节核验；结果限于作者模拟设置。
clare-2026,CLARE: Continual Learning for Vision-Language-Action Models via Autonomous Adapter Routing and Expansion,CLARE：通过自主适配器路由与扩展实现视觉—语言—动作模型持续学习,2026,IEEE Robotics and Automation Letters,peer-reviewed,paper,continual-retention,continual-retention|fewshot-parameter|context-memory,3,core,A,https://doi.org/10.1109/LRA.2026.3693992,10.1109/LRA.2026.3693992,,https://tum-lsy.github.io/clare,,,T1/T2；arXiv 元数据、HTML 正文、RA-L 接收说明与 DOI 核验。核心机制读到方法正文。
robocat-2023,RoboCat: A Self-Improving Foundation Agent for Robotic Manipulation,RoboCat：面向机器人操控的自改进基础智能体,2023,Transactions on Machine Learning Research,peer-reviewed,paper,continual-retention,continual-retention|fewshot-parameter,3,core,B,https://openreview.net/forum?id=vsCpILiWHu,,,https://deepmind.google/research/publications/35829/,,,T1/T2；arXiv 版本注明 TMLR 2023，且与 DeepMind 官方出版页交叉核验。标题在早期预印本中使用 Generalist Agent，正式版使用 Foundation Agent，归入同一版本族。
