candidate_id,title,decision,reason_code,canonical_id,source_url,checked_at,notes
ricl-2025,"RICL: Adding In-Context Adaptability to Pre-Trained Vision-Language-Action Models",include,,openreview-6AASPlloSt,https://openreview.net/forum?id=6AASPlloSt,2026-08-09,"直接 VLA、同行评议、无参数测试时适应"
vla-steering-2026,"Learning What to Say to Your VLA: Mostly Harmless Vision Language Action Model Steering",include,,arxiv-2606.12299,https://arxiv.org/abs/2606.12299,2026-08-09,"直接 VLA、预印本、语言反馈与安全门控"
openvla-2025,"OpenVLA: An Open-Source Vision-Language-Action Model",include,,pmlr-v270-kim25c,https://proceedings.mlr.press/v270/kim25c.html,2026-08-09,"部署适配底座；标为背景而非在线方法"
openvla-oft-2025,"Fine-Tuning Vision-Language-Action Models: Optimizing Speed and Success",include,,arxiv-2502.19645,https://arxiv.org/abs/2502.19645,2026-08-09,"部署工程和批次微调桥接"
never-stop-learning-2021,"Never Stop Learning: The Effectiveness of Fine-Tuning in Robotic Reinforcement Learning",include,,pmlr-v155-julian21a,https://proceedings.mlr.press/v155/julian21a.html,2026-08-09,"非 VLA；持续适配强桥接"
sirius-2023,"Robot Learning on the Job: Human-in-the-Loop Autonomy and Learning During Deployment",include,,doi-10.15607-RSS.2023.XIX.005,https://roboticsproceedings.org/rss19/p005.html,2026-08-09,"非 VLA；部署人机闭环强桥接"
rove-2026,"ROVE: Unlocking Human Interventions for Humanoid Manipulation via Reinforcement Learning",include,,arxiv-2606.17011,https://arxiv.org/abs/2606.17011,2026-08-09,"直接 VLA、预印本、真实人形部署干预"
vla-rl-2025,"VLA-RL: Towards Masterful and General Robotic Manipulation with Scalable Reinforcement Learning",include,,arxiv-2505.18719,https://arxiv.org/abs/2505.18719,2026-08-09,"直接 VLA 在线强化"
road-vla-2026,"ROAD-VLA: Robust Online Adaptation via Self-Distillation for Vision-Language-Action Models",include,,arxiv-2606.25800,https://arxiv.org/abs/2606.25800,2026-08-09,"直接 VLA；含关键负面消融"
agentic-vla-2026,"Agentic-VLA: Efficient Online Adaptation for Vision-Language-Action Models",include,,arxiv-2605.22896,https://arxiv.org/abs/2605.22896,2026-08-09,"直接 VLA；奖励、探索、记忆的系统组合"
robocat-2023,"RoboCat: A Self-Improving Foundation Agent for Robotic Manipulation",include,,openreview-vsCpILiWHu,https://openreview.net/forum?id=vsCpILiWHu,2026-08-09,"TMLR；视觉目标条件近邻工作，版本族去重"
clare-2026,"CLARE: Continual Learning for Vision-Language-Action Models via Autonomous Adapter Routing and Expansion",include,,doi-10.1109-LRA.2026.3693992,https://doi.org/10.1109/LRA.2026.3693992,2026-08-09,"直接 VLA、RA-L 2026、抗遗忘"
rt2-2023,"RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control",exclude,"范围外",arxiv-2307.15818,https://arxiv.org/abs/2307.15818,2026-08-09,"重要 VLA 基线但无部署期更新机制"
pi0-2025,"π0: A Vision-Language-Action Flow Model for General Robot Control",exclude,"范围外",rss21-p010,https://www.roboticsproceedings.org/rss21/p010.html,2026-08-09,"通用策略与下游适配背景，本次少量地图不再重复收录"
thriftydagger-2022,"ThriftyDAgger: Budget-Aware Novelty and Risk Gating for Interactive Imitation Learning",exclude,"范围外",pmlr-v164-hoque22a,https://proceedings.mlr.press/v164/hoque22a.html,2026-08-09,"相关人类干预，但 Sirius 更接近完整部署学习闭环"
aim-2025,"Robot-Gated Interactive Imitation Learning with Adaptive Intervention Mechanism",exclude,"范围外",pmlr-v267-cai25e,https://proceedings.mlr.press/v267/cai25e.html,2026-08-09,"重要干预门控，限时 L1 留入扩展队列"
crl-vla-2026,"CRL-VLA: Continual Vision-Language-Action Learning",exclude,"证据不足",arxiv-2602.03445,https://arxiv.org/abs/2602.03445,2026-08-09,"前沿预印本；与 CLARE 同分支，未完成正文审计"
rftf-2025,"RFTF: Reinforcement Fine-tuning for Embodied Agents with Temporal Feedback",exclude,"被更新版本取代",arxiv-2505.19767,https://arxiv.org/abs/2505.19767,2026-08-09,"OpenReview 曾撤回，另有 2026 workshop 版本；版本状态需进一步消解"
